DecoPlatformDirtSlope2BaseCurve1OutFull	6465
StageStructureDiagOut	6443
StructureSupportStraight	6418
DecoPlatformSlope2End	6408
GateExpandableSpecialNoBrake	6323
DecoPlatformSlopeBaseCurve1InFull	6321
DecoCliff10StraightSmall	6318
RoadTechBranchTShaped	6256
WaterWallTShapedPillar	6234
DecoPlatformIceSlope2Straight	6181
PlatformTechToDecoWall	6153
TrackWallDiagRightStartStraightX2Pillar	6148
PlatformDirtSlope2Straight	6125
PlatformPlasticCurve1	6030
PlatformGrassSlopeBase	6025
TechnicsScreen2x1StraightSmall	6018
TrackWallCurve2	5984
PlatformGrassWallOutCurve0	5928
DecoWallLoopEndGrass	5875
OpenTechRoadStraight	5874
DecoCliffIceTopStraight10m	5845
DecoWallCurve2	5795
StageSupportCornerInPillar	5793
